event_date,section,row,seat,ticket_price,purchase_channel,acct_id,num_tickets,total_spend,section_capacity,venue_id,market,venue
2025-01-01,Club,16,10,50,Mobile App,ACCT20000,4,200,1166,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,21,19,25,Group Sales,ACCT20001,1,25,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,19,12,120,Season Ticket,ACCT20002,6,720,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Upper Bowl,15,2,90,Season Ticket,ACCT20003,2,180,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Upper Bowl,2,2,50,Group Sales,ACCT20004,4,200,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Standing Room,28,17,25,Season Ticket,ACCT20005,5,125,388,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,20,20,25,Box Office,ACCT20006,1,25,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Suite,25,16,75,Season Ticket,ACCT20007,6,450,777,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,21,12,60,Group Sales,ACCT20008,3,180,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Upper Bowl,23,20,60,Group Sales,ACCT20009,3,180,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Upper Bowl,12,1,35,Group Sales,ACCT20010,2,70,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Club,27,19,120,Season Ticket,ACCT20011,6,720,1166,NYC_01,New York,PWHL New York Arena
2025-01-01,Standing Room,4,6,150,Online,ACCT20012,4,600,388,NYC_01,New York,PWHL New York Arena
2025-01-01,Standing Room,2,3,75,Box Office,ACCT20013,2,150,388,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,4,10,50,Box Office,ACCT20014,1,50,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,30,15,120,Group Sales,ACCT20015,3,360,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Upper Bowl,12,12,75,Group Sales,ACCT20016,6,450,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,29,6,120,Online,ACCT20017,5,600,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,22,3,50,Group Sales,ACCT20018,1,50,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Upper Bowl,9,15,60,Group Sales,ACCT20019,3,180,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Upper Bowl,14,11,90,Mobile App,ACCT20020,4,360,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Upper Bowl,9,15,35,Season Ticket,ACCT20021,1,35,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,11,17,25,Box Office,ACCT20022,1,25,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,2,10,35,Season Ticket,ACCT20023,6,210,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Club,20,20,75,Box Office,ACCT20024,2,150,1166,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,25,16,150,Online,ACCT20025,6,900,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Upper Bowl,10,8,90,Mobile App,ACCT20026,5,450,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Upper Bowl,24,7,50,Mobile App,ACCT20027,5,250,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Upper Bowl,29,15,120,Online,ACCT20028,2,240,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,24,5,75,Group Sales,ACCT20029,1,75,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Standing Room,24,19,75,Season Ticket,ACCT20030,6,450,388,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,12,3,60,Box Office,ACCT20031,2,120,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Upper Bowl,8,4,60,Box Office,ACCT20032,5,300,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Suite,18,19,150,Season Ticket,ACCT20033,1,150,777,NYC_01,New York,PWHL New York Arena
2025-01-01,Upper Bowl,29,12,35,Season Ticket,ACCT20034,4,140,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,22,14,75,Online,ACCT20035,6,450,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Upper Bowl,25,11,90,Box Office,ACCT20036,3,270,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Upper Bowl,30,17,60,Group Sales,ACCT20037,1,60,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Club,4,14,35,Group Sales,ACCT20038,1,35,1166,NYC_01,New York,PWHL New York Arena
2025-01-01,Club,26,5,75,Box Office,ACCT20039,2,150,1166,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,3,1,120,Group Sales,ACCT20040,4,480,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,22,5,50,Box Office,ACCT20041,5,250,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Suite,16,3,150,Season Ticket,ACCT20042,4,600,777,NYC_01,New York,PWHL New York Arena
2025-01-01,Club,5,14,90,Group Sales,ACCT20043,4,360,1166,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,15,15,150,Online,ACCT20044,5,750,2721,NYC_01,New York,PWHL New York Arena
2025-01-01,Lower Bowl,16,17,75,Mobile App,ACCT20045,1,75,2721,NYC_01,New York,PWHL New York Arena
