time,event_date,market,country,venue_id,venue,temp_c,rh_pct,wind_mps,precip_mm
2025-01-01 00:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,5.0,91,16.6,0.0
2025-01-01 01:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,6.2,88,20.3,0.0
2025-01-01 02:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,6.7,87,24.1,2.0
2025-01-01 03:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,6.6,92,25.3,2.0
2025-01-01 04:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,6.8,96,24.0,2.7
2025-01-01 05:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,7.3,93,26.1,0.8
2025-01-01 06:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,7.6,93,21.4,0.2
2025-01-01 07:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,7.3,95,12.3,2.2
2025-01-01 08:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,8.0,98,12.9,1.0
2025-01-01 09:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,8.0,98,3.1,0.7
2025-01-01 10:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,8.0,99,2.8,0.8
2025-01-01 11:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,9.0,95,4.9,0.3
2025-01-01 12:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,9.6,92,6.7,0.0
2025-01-01 13:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,8.4,94,12.8,0.2
2025-01-01 14:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,7.1,94,14.2,0.1
2025-01-01 15:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,7.0,90,12.6,0.0
2025-01-01 16:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,6.6,92,10.5,0.0
2025-01-01 17:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,6.2,93,8.1,0.0
2025-01-01 18:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,6.1,91,11.9,0.0
2025-01-01 19:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,6.4,85,19.8,0.2
2025-01-01 20:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,5.6,83,22.2,0.5
2025-01-01 21:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,4.4,84,21.7,0.2
2025-01-01 22:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,3.9,80,22.9,0.2
2025-01-01 23:00:00,2025-01-01,Boston,US,BOS_01,PWHL Boston Arena,3.5,80,23.8,0.4
2025-01-02 00:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,3.3,78,24.0,0.3
2025-01-02 01:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,3.2,73,23.7,0.0
2025-01-02 02:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,2.9,70,23.7,0.0
2025-01-02 03:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,2.4,69,22.7,0.0
2025-01-02 04:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,1.9,69,23.1,0.0
2025-01-02 05:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,1.5,68,23.1,0.0
2025-01-02 06:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,1.0,65,23.8,0.0
2025-01-02 07:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,0.6,66,23.5,0.0
2025-01-02 08:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,2.2,57,25.2,0.0
2025-01-02 09:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,2.7,58,21.0,0.0
2025-01-02 10:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,3.2,51,28.8,0.0
2025-01-02 11:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,3.8,47,29.5,0.0
2025-01-02 12:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,4.5,38,31.7,0.0
2025-01-02 13:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,4.6,39,33.4,0.0
2025-01-02 14:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,5.0,34,36.4,0.0
2025-01-02 15:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,4.4,41,27.2,0.0
2025-01-02 16:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,3.2,50,24.8,0.0
2025-01-02 17:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,2.2,56,24.7,0.0
2025-01-02 18:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,1.7,58,25.3,0.0
2025-01-02 19:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,1.1,59,26.5,0.0
2025-01-02 20:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,1.3,54,25.8,0.0
2025-01-02 21:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,0.9,55,26.3,0.0
2025-01-02 22:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,0.6,54,24.9,0.0
2025-01-02 23:00:00,2025-01-02,Boston,US,BOS_01,PWHL Boston Arena,0.3,56,24.7,0.0
2025-01-03 00:00:00,2025-01-03,Boston,US,BOS_01,PWHL Boston Arena,0.0,59,23.6,0.0
2025-01-03 01:00:00,2025-01-03,Boston,US,BOS_01,PWHL Boston Arena,-0.1,61,23.5,0.0
2025-01-03 02:00:00,2025-01-03,Boston,US,BOS_01,PWHL Boston Arena,-0.3,61,22.5,0.0
2025-01-03 03:00:00,2025-01-03,Boston,US,BOS_01,PWHL Boston Arena,-0.5,61,21.8,0.0
2025-01-03 04:00:00,2025-01-03,Boston,US,BOS_01,PWHL Boston Arena,-0.7,63,20.9,0.0
2025-01-03 05:00:00,2025-01-03,Boston,US,BOS_01,PWHL Boston Arena,-1.0,65,20.3,0.0
